X,polarity,center,normalized,aspect,tense,number,Y,Y_POS,Y_number,Y_animacy,Y_case,Full context,Created,Title,Sphere,Medium
другое,pos,осилило,осилить,perf,past,sing,его,NPRO,sing,anim,accs,"Нет, не силы его оставили, не бедность таланта и мыслей виной пустоты содержанья последних стихов его, как самоуверенно возгласили критики, и даже не болезнь (болезнь дается только к ускоренью дела, если человек проникнет смысл ее) -- нет, другое его осилило: свет любви погаснул в душе его -- вот почему примеркнул и свет поэзии",1847,Н. В. Гоголь. Выбранные места из переписки с друзьями (1843-1847),художественная,книга
"он, [человек]",pos,осилил,осилить,perf,past,sing,движение,NOUN,sing,inan,accs,"Павла Алексеевича, конечно, не бархатом по сердцу погладило от этих слов; но он собрался с духом, осилил всякое движение, казался спокойным и взглянул только слегка вопросительно на того и на другого",1847,В. И. Даль. Павел Алексеевич Игривый (1847),художественная,книга
ветер,pos,осилил,осилить,perf,past,sing,его,NPRO,sing,inan,accs,"Под нашим окном дуб сломило, а к нам приходит старый, седой старик нищий, и он говорил, что еще малым дитей помнил этот дуб и что он был такой же, как и тогда, когда ветер осилил его",1847,Ф. М. Достоевский. Хозяйка (1847),художественная,книга
я,pos,осилила,осилить,perf,past,sing,сердце,NOUN,sing,inan,accs,"Слушала я, и зло меня взяло, зло с любви взяло; я сердце осилила, промолвила: «Люб иль не люб ты пришелся мне, знать, не мне про то знать, а, верно, другой какой неразумной, бесстыжей, что светлицу свою девичью в темную ночь опозорила, за смертный грех душу свою продала да сердца своего не сдержала безумного; да знать про то, верно, моим горючим слезам да тому, кто чужой бедой воровски похваляется, над девичьим сердцем насмехается!» Сказала, да не стерпела, заплакала",1847,Ф. М. Достоевский. Хозяйка (1847),художественная,книга
ворчун,pos,осилит,осилить,perf,futr,sing,работы,NOUN,sing,inan,gent,"Походит-походит труженик по горенке, побрюзжит на судьбу, на обстоятельства, кстати даст нагоняй кому-нибудь из шалунов-ребятишек, да и кончит тем, что скажет жене: «Поставь-ко, матушка Катерина Александровна, самоварчик: авось, будет полегче! бог не без милости!» И точно, напившись чаю, он перестанет хмуриться, развеселится, от сердца отойдут житейские невзгоды, как рукой снимет нездоровье, -- усердно засядет ворчун за дело и просидит за ним, не разгибая спины, пока не осилит срочной работы",1849,И. Т. Кокорев. Самовар (1849),художественная,книга
"он, [человек]",pos,осилил,осилить,perf,past,sing,себя,NPRO,sing,anim,accs,"Наконец он как будто осилил себя, приказал мне идти наверх, сошел несколько ступеней вниз, но вдруг остановился и торопливо кликнул меня",1849,Ф. М. Достоевский. Неточка Незванова (1849),художественная,книга
,neg,осилишь,осилить,perf,futr,sing,,,,,,"А братец свое: «Коли выточишь -- озолочу, коли не осилишь -- повешу",1952,Ю. П. Герман. Россия молодая. Часть первая (1952),художественная,книга
арабы,pos,осилили,осилить,perf,past,plur,их,NPRO,plur,anim,accs,"Деревня Бейад очень хорошей постройки, но теперь без жителей; ее построили Пуштикухцы, когда были сильнее Арабов; но теперь Арабы осилили их и жители разбежались",1852,Е. И. Чириков. Путевой журнал (1849-1852),учебно-научная | нехудожественная,книга
,neg,осилишь,осилить,perf,futr,sing,,,,,,"Всем добре много очень задолжали, никак не осилишь... так задолжали, сами того не стоим",1855,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
,neg,осилит,осилить,perf,futr,sing,,,,,,"Говорил, не бери! говорил: не по нас малый-то! не осилит -- ничего, мол, не стоящий! -- сказал Верстан",1855,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
сон,pos,осилит,осилить,perf,futr,sing,меня,NPRO,sing,anim,accs,"Не решив этого вопроса, я засыпал, но беготня и писк разбудили меня опять; открою глаза и вижу, что к окну приблизится с улицы какая-то тень, взглянет и медленно отодвинется, и вдруг опять сон осилит меня, опять разбудят мыши, опять явится и исчезнет тень в окне",1855,И. А. Гончаров. Фрегат «Паллада» (1855),художественная,книга
"они, [люди]",neg,осилят,осилить,perf,futr,plur,,,,,,"Пробежав вприпрыжку четверть версты, они сами увидели наконец, что не осилят, и вернулись домой",1856,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
-,pos,осиливает,,,,,,,,,,"Диковинное дело, как осиливает",1855,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
"он, [человек]",neg,осилил,осилить,perf,past,sing,их,NPRO,plur,inan,accs,"Он машинально добрел до своей риги; ворота были заперты; он пытался несколько раз отворить их, но не осилил и повалился у входа лицом к земле",1856,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
,neg,осилишь,осилить,perf,futr,sing,,,,,,Не осилишь; и с своим-то насилу управляешься,1856,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
"он, [человек]",neg,осилил,осилить,perf,past,sing,подняться,INFN,,,accs,"Когда пришло время идти к помещице с письмом Сергея Васильевича, Лапша до того закашлялся, что едва мог перевести дух; он пробовал было подняться на ноги и пойти за женою, но никак не осилил",1856,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
кто,pos,осилит,осилить,perf,futr,sing,кого,NPRO,,,accs,"Мы еще посмотрим, кто кого осилит, коли на то пошло -- да",1856,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
[мы],neg,осилим,осилить,perf,futr,plur,,,,,,"Рады бы... не осилим, Герасим Афанасьич! взять неоткуда! -- сказал Лапша, совсем растерявшись",1856,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
[он],neg,осилит,осилить,perf,futr,sing,ступить,INFN,,,accs,"Ему хоша теперь и полегчало, а все ступить на ногу-то не осилит",1856,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
,pos,,,,,,,,,,,"Если он русак и материк, так я вас уверяю, что он потянет рубеж и другого ходу у него быть не может, и как вы ни отъезжайте, а на жниво вам его не сбить, скорей же заловят на зеленях, если осилят",1857,Е. Э. Дриянский. Записки мелкотравчатого (1857),художественная,книга
[ты],neg,осилишь,осилить,perf,futr,sing,,,,,,"Ведь вот нарочно качку сделал, нарочно повесил подле кровати: заплакал младенец -- протяни только руку, либо, коли не осилишь, Палагея подаст",1857,Д. В. Григорович. Кошка и мышка (1857),художественная,книга
,pos,,,,,,,,,,,Чего осилит,1858,А. Ф. Писемский. Тысяча душ (1858),художественная,книга
Палагея,pos,осилила,осилить,perf,past,sing,,,,,,"Ой, сударь, не осилишь, пожалуй! -- отвечала Палагея, однако осилила и сверх этого еще выпила огромный ковш пива",1858,А. Ф. Писемский. Тысяча душ (1858),художественная,книга
[губернатор],pos,осилит,осилить,perf,futr,sing,,,,,,"Плохо будет губернатору, плохо! -- решили почти единогласно все губернские дипломаты, и только один Папушкин, не любивший скоро отступать от своих убеждений, возражал на это: «Ничего не плохо -- осилит",1858,А. Ф. Писемский. Тысяча душ (1858),художественная,книга
Петр,pos,осиливал,осиливать,impf,past,sing,дверь,NOUN,sing,inan,accs,"Петр Михайлыч долго осиливал всплошь железную церковную дверь, которая, наконец, скрипя, тяжело распахнулась",1858,А. Ф. Писемский. Тысяча душ (1858),художественная,книга
[ты],neg,осилишь,осилить,perf,futr,sing,,,,,,"Ой, сударь, не осилишь, пожалуй! -- отвечала Палагея, однако осилила и сверх этого еще выпила огромный ковш пива",1858,А. Ф. Писемский. Тысяча душ (1858),художественная,книга
змий,pos,осилил,осилить,perf,past,sing,над княгинею,NOUN,anim,anim,ablt,Змий неприязненный осилил над княгинею,1858,Ф. И. Буслаев. Песни «Древней Эдды» о Зигурде и Муромская легенда (1858),учебно-научная | нехудожественная,книга
"он, [человек]",neg,осиливал,осиливать,impf,past,sing,тома,NOUN,sing,inan,gent,"Потом уж он не осиливал и первого тома, а большую часть свободного времени проводил, положив локоть на стол, а на локоть голову; иногда вместо локтя употреблял ту книгу, которую Штольц навязывал ему прочесть",1859,И. А. Гончаров. Обломов (1859),художественная,книга
плоть,pos,осилит,осилить,perf,futr,sing,"всякого, человека",NOUN,sing,anim,accs,"В первый-то день, только как уж очень в горле пересохнет, таки водицы изопьешь; а тут опосля тоже... все еще, видно, плоть-то человеческая немощна... осилит всякого... не вытерпел тоже... и на дорогу вышел: женщина тут на заделье ехала, так у ней каравай хлеба купил, только тем и питался",1859,А. Ф. Писемский. Горькая cудьбина (1859),художественная,книга
"он, [человек]",pos,осилил,осилить,perf,past,sing,себя,NPRO,sing,anim,accs,Наконец он осилил себя,1859,И. А. Гончаров. Обломов (1859),художественная,книга
христиане,pos,осилили,осилить,perf,past,plur,ляхов,NOUN,plur,anim,accs,"Государство Московское хвалят: в Московском, говорят, государстве великий государь православной христианской веры, и подданные его все православные же христиане, и войны в Московском государстве нет и вперед не будет, потому что вера православная одна; а у них и прежде с ляхами за веру война и разоренье бывало большое, а теперь хотя они с ляхами и помирятся, потому что они теперь ляхов осилили и ляхи им теперь уступают во всем, но потом ляхи над ними станут промышлять и за нынешнюю войну мстить; знают они подлинно, что ляхи против них войну начнут",1860,С. М. Соловьев. История России с древнейших времен. Том десятый (1860),учебно-научная | нехудожественная,книга
поляки,pos,осилят,осилить,perf,futr,plur,черкас,NOUN,plur,anim,accs,"В Смоленске, Орше, Минске, Могилеве и других городах православные толковали: «Когда у поляков с черкасами будут бои и станут поляки черкас осиливать, то мы, всяких чинов люди, поднимемся на поляков и сделаем у себя таких Хмельницких десять человек, а войска -- 100000 и станем Польшу и Литву воевать для того: если поляки черкас осилят, то и нас всех, православных христиан, выгубят, и нам поневоле против поляков стоять и биться пока нашей мочи будет",1860,С. М. Соловьев. История России с древнейших времен. Том десятый (1860),учебно-научная | нехудожественная,книга
иезуиты,pos,осилили,осилить,perf,past,plur,протестантизм,NOUN,sing,inan,accs,"Иезуиты благодаря своим ловким приемам осилили протестантизм, больной и слабый разделением; но, осилив протестантизм, иезуиты немедленно обратили внимание на более опасного врага -- на старинное, пустившее в народе глубокие корни, исповедание восточное, или русское: против него направлены были теперь усилия иезуитов; против него возбужден ими фанатизм католического народонаселения, против него, но их внушениям, действует правительство, отуманенное фанатизмом, не умеющее разобрать собственного интереса, думающее или, по крайней мере, желающее других заставить думать, что уния церковная скрепит унию государственную: надежда основательная только в том случае, если бы эта уния совершилась спокойно, без насилия",1860,С. М. Соловьев. История России с древнейших времен. Том десятый (1860),учебно-научная | нехудожественная,книга
"Карп, [человек]",neg,осиливал,осиливать,impf,past,sing,с избою,NOUN,inan,inan,ablt,"Карп не осиливал только с избою; все остальное, что зависело от его рук и средств, смотрело как нельзя пригляднее и обличало домовитого, деятельного хозяина",1860,Д. В. Григорович. Пахатник и бархатник (1860),художественная,книга
Митрофанушка,neg,осиливает,осиливать,impf,pres,sing,книги,NOUN,sing,inan,gent,"Является, стало быть, необходимость поработать, но наш новый Митрофанушка не осиливает ни одной книги и начинает говорить: «Не хочу учиться, хочу жениться",1861,"Д. И. Писарев. Писемский, Тургенев и Гончаров (1861)",публицистика | нехудожественная,книга
организм,pos,осилил,осилить,perf,past,sing,начало,NOUN,sing,inan,accs,"Зоненберг водил меня гулять по целым часам: особенно когда отец купил Никольское, и я там целый день был на воздухе, -- мой организм осилил золотушное начало, и, несмотря на то, что я в Никольском в роще ложился головой на колени Анны Егоровны и от эротической раздраженности мочился в панталоны, несмотря на это, я окреп",1862,Н. П. Огарев. Моя исповедь (1860-1862),публицистика | нехудожественная,книга
"она, [человек]",pos,осилит,осилить,perf,futr,sing,насчет штрафу,NOUN,inan,inan,datv,"Я так полагаю, Микит Иваныч, как мое рассуждение есть, может, она насчет штрафу осилит как-нибудь, -- вмешался он",1862,А. И. Левитов. Расправа (1862),художественная,книга
[мы],pos,осилили,осилить,perf,past,plur,«Мармионы»,,,,,"Выслужившегося офицера» хоть и прочли, но отец жаловался на его растянутость, «Мармионы» же осилили разве только станиц десять",1862,А. А. Григорьев. Мои литературные и нравственные скитальчества (1862),публицистика | нехудожественная,книга
,neg,осилишь,осилить,perf,futr,sing,,,,,,"Ох, страшно: ведь нас солдаты с ружьями будут провожать; не осилишь, убьют тебя -- будут стрелять по тебе и по твоим товарищам",1863,Г. П. Данилевский. Воля (1863),художественная,книга
они,pos,осилили,осилить,perf,past,plur,солдат,NOUN,plur,anim,accs,"Прошла весть, что близ Черкасска в степи, под вечер, на этап с колодниками было сделано нападение шайки бродяг; солдат осилили, освободили всех арестантов, расковали, и те разбежались без вести",1863,Г. П. Данилевский. Воля (1863),художественная,книга
вы,pos,осилили,осилить,perf,past,plur,суд,NOUN,sing,inan,accs,"Вы, генерал, осилили своею правотою суд, уездную и губернскую полицию, добыли себе в защиту главного чиновника из местной администрации, он все распутал, обличил и что же? -- является совершенно постороннее лицо и говорит: «Довольно! я не хочу, чтоб правда отыскалась!» -- и я должен бросить снова все",1863,Г. П. Данилевский. Воля (1863),художественная,книга
[мы],pos,осилим,осилить,perf,futr,plur,купить,INFN,,,,"Вложила ему в голову его хозяйка, что ль, бабочка хитрая, даром что молода, что у нас деньги такие, что купить некрута осилим",1863,Л. Н. Толстой. Поликушка (1863),художественная,книга
годы,pos,осилили,осилить,perf,past,plur,силу,NOUN,sing,inan,accs,"Стар человек я, годы осилили мою силу, а и в былое время не стать бы с тобою меряться: больно уж дивная сила, брат, у тебя",1864,В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864),художественная,книга
рассказчик,pos,осилил,осилить,perf,past,sing,сцену,NOUN,sing,inan,accs,"Имел я тоже случай тогда до подробности разузнать о сцене в конторе квартала, тоже случайно-с, и не то чтобы так мимоходом, а от рассказчика особенного, капитального, который, и сам того не ведая, удивительно эту сцену осилил",1866,Ф. М. Достоевский. Преступление и наказание (1866),художественная,книга
страдания,pos,осилят,осилить,perf,futr,plur,дух,NOUN,sing,inan,accs,"Подчасъ нападетъ на него и грусть и отчаяніе, физическія страданія осилятъ духъ, но не надолго; прошла усталость и нравственная сила беретъ свое: снова начинается работа и еще съ большей силой чѣмъ прежде",1867,"Н. В. Шелгунов. Год на Севере С. Максимова (1867) // «Русское слово», № 2, 1860",публицистика | нехудожественная,журнал
[они],pos,осилили,осилить,perf,past,plur,вас,NPRO,plur,anim,accs,"Вас там осилили, а здесь вы вздохните да пообдумайтесь: мы говорить с вами будем, авось вы и в Бога уверуете, и Государя возлюбите, и Россию чтить станете; а тогда и сынка окрестим",1868,Н. С. Лесков. Божедомы (1868),художественная,книга
волны,neg,осилили,осилить,perf,past,plur,меня,NPRO,sing,anim,accs,"Меня веселила или, лучше сказать, раззадоривала борьба съ неугомонившимися волнами Невы, я иногда доводилъ себя до изнеможенія этимъ трудомъ и съ какою-то радостью, съ задорнымъ самодовольствіемъ чувствовалъ, что волны не осилили меня, что вотъ завтра я опять поѣду спорить съ ними, наслажусь этимъ споромъ и опять не струшу, если какая-нибудь шальная волна обдастъ мое лицо своей пѣной и хлеснетъ въ челнокъ",1868,А. К. Шеллер-Михайлов. С квартиры на квартиру (1868),художественная,книга
читатель,pos,осиливает,осиливать,impf,pres,sing,"их, вещи",ADJS,plur,inan,,"Нельзя также сказать, чтобы роман был очень длинен, но странное явление иногда происходит в беллетристике: вещи очень длинные кажутся короткими, вещи несомненно короткие кажутся такими длинными, что читатель едва осиливает их до конца",1868,М. Е. Салтыков-Щедрин. Засоренные дороги и с квартиры на квартиру. Роман и рассказ соч. А. Михайлова (1868),публицистика | нехудожественная,книга
"[я], [он]",neg,осилил,осилить,perf,past,sing,себя,NPRO,sing,anim,accs,Наконец-таки не осилил себя: приблизился к постели и с жутким чувством в душе приник трепещущими губами к щеке жены,1869,В. В. Крестовский. Панургово стадо (Ч. 3-4) (1869),художественная,книга
,pos,,,,,,,,,,,"Это была полная и откровенная исповедь всей глухой борьбы, которую она теперь столь упорно, но тщетно осиливала",1869,В. В. Крестовский. Панургово стадо (Ч. 3-4) (1869),художественная,книга
он,pos,осиливает,осиливать,impf,pres,sing,винища,NOUN,sing,inan,accs,"Стар, стар, а сколько он этого винища осиливает",1870,А. И. Левитов. Бесприютный (1870),художественная,книга
народ,neg,осилит,осилить,perf,futr,sing,стихии,NOUN,sing,inan,gent,"Если обычай народа измѣняется не силою его духа, не силою совершенствованія нравственнаго его чувства, не просвѣщеніемъ народной совѣсти, а уничтожается онъ внѣшнимъ насиліемъ и соблазномъ ради введенія въ жизнь чуждыхъ для нея формъ, хотя бы даже и болѣе совершенныхъ; и если народъ не осилитъ чуждой для него стихіи: то внутренняя правда его быта замѣняется внѣшнею, чисто формальною, призрачною правдою, туманится его общественная совѣсть, и нравственность его падаетъ",1871,"С. А. Юрьев. В чем наша задача? // «Беседа», № 1, 1871",публицистика | нехудожественная,журнал
партия,pos,осиливала,осиливать,impf,past,sing,сотню верст,ADJS,sing,inan,accs,"На этот раз кандальная партия осиливала последнюю сотню верст из долгого и тяжелого, семитысячного и годового пути своего",1871,С. В. Максимов. Сибирь и каторга (1871),публицистика | нехудожественная,книга
чья,pos,осилит,осилить,perf,futr,sing,круг,NOUN,sing,inan,accs,"Чья осилит круг прежде другой, тот и выигрывает",1871,С. В. Максимов. Сибирь и каторга (1871),публицистика | нехудожественная,книга
он,pos,осилил,осилить,perf,past,sing,ее,NPRO,sing,inan,accs,"Когда он осилил ее, Петр Степанович уже расплатился и уходил",1871,Ф. М. Достоевский. Бесы (1871-1872),художественная,книга
[мы],pos,осиливаем,осиливать,impf,pres,plur,лестницу,NOUN,sing,inan,accs,"Отдохнув, осиливаем вторую лестницу, такую же отвесную и крутую, такую же неподатливую, с такими же крепко захватанными перилами, снова устаем до изнеможения и с радостью узнаем на второй площадке, что конец мучениям близок",1871,С. В. Максимов. Сибирь и каторга (1871),публицистика | нехудожественная,книга
русские,pos,осилили,осилить,perf,past,plur,"их, варваров",NPRO,plur,inan,,"И это движение началось сейчас же, как только восточные варвары ослабели, русские осилили их, могли вздохнуть поспокойнее, оглядеться и заметить сказанное различие между собою и поморскими народами, ибо великий исторический народ пребывать в застое не может, а если древняя Россия нам представляется в застое, то это застой относительный, это только медленность движения в известных сферах вследствие могущественных препятствий, встречаемых народом",1871,С. М. Соловьев. Петровские чтения (1871),публицистика | нехудожественная,книга
мы,pos,осилили,осилить,perf,past,plur,перевал,NOUN,sing,inan,accs,"Со стороны обеих больших дорог доступ в эту сердцевину горного Крыма нетруден; но с горного берега в нее можно проникнуть только через несколько «богазов», перевалов, подобных тому, который мы теперь осилили с таким трудом",1872,Е. Л. Марков. Очерки Крыма (1872),публицистика | нехудожественная,книга
страх,pos,осилит,осилить,perf,futr,sing,тебя,NPRO,sing,inan,,"Коли не будешь бояться, то никакой страх тебя не возьмет, а коли убоишься, то страх тут как тут, и накроет, и осенит, и осилит",1872,Н. П. Вагнер. Сказки Кота-Мурлыки (1872),художественная,книга
орды дикарей,neg,осиливали,осиливать,impf,past,plur,твердынь,NOUN,plur,inan,gent,"Орды дикарей, разрушавшие сильные царства, не осиливали этих твердынь цивилизации, защищенных духом свободы и изобретениями просветленного ума",1872,Е. Л. Марков. Очерки Крыма (1872),публицистика | нехудожественная,книга
я,pos,осилил,осилить,perf,past,sing,соблазны,NOUN,plur,inan,accs,"Да-с, я соблазны большого беса осилил, но, доложу вам, -- хоть это против правила, -- а мне мелких бесенят пакости больше этого надокучили",1873,Н. С. Лесков. Очарованный странник (1873),художественная,книга
мы,neg,осилили,осилить,perf,past,plur,половину,NOUN,sing,inan,accs,"Хорошо сдобную булку съесть, немудрено сжевать и проглотить наслащенную сахаром, но до булочки еще далеко, мы и половину дороги не осилили",1873,С. В. Максимов. Куль хлеба и его похождения (1873),публицистика | нехудожественная,книга
[они],pos,осилили,осилить,perf,past,plur,его,NPRO,sing,anim,,"Наконец-то его осилили, -- отвратительно заревел",1874,П. И. Огородников. Очерки Персии (1874),публицистика | нехудожественная,книга
бабы,pos,осиливают,осиливать,impf,pres,plur,мужиков,NOUN,plur,anim,,"Те отбивались, отшучивались, однако же бабы пересилили, во всех делах, где задет бабий интерес, бабы всегда осиливают мужиков, и тот, кто заводит какое-нибудь новое дело, чтобы иметь успех, должен прежде всего обратить внимание, насколько будут задеты бабьи интересы в этом деле, потому что вся сила в бабах, что и понятно для каждого, кто, зная положение бабы в деревне, примет во внимание, что 1) баба не платит податей и 2) что бабу нельзя пороть",1875,А. Н. Энгельгардт. Письма из деревни (1872-1887 гг.). Письмо пятое (1875),публицистика | нехудожественная,книга
Россия,neg,осилит,осилить,perf,futr,sing,промышленности,NOUN,sing,inan,gent,"Но ведь и эти знают отлично, что Россия, даже при самых благоприятных для себя обстоятельствах, все-таки не осилит их промышленности и торговли и что это еще вопрос веков; но даже малейшее развитие чьей-нибудь торговли, малейшее чье-нибудь усиление на море, -- и вот уже у них тревога, паника, тоска за барыш: вот из-за этого-то вся «цивилизация» вдруг и оказывается пуфом",1876,Ф. М. Достоевский. Дневник писателя. 1876 год (1876),публицистика | нехудожественная,книга
"он, [ребенок]",pos,осиливает,осиливать,impf,pres,sing,идеи,NOUN,plur,inan,accs,"В самом деле, если б ребенок развивался только посредством научных пособий и научных игр и узнавал мироведение через «утку», то, я думаю, никогда бы не дошел до той ужасающей, невероятной глубины понимания, с которою он вдруг осиливает, совсем неизвестно каким способом, иные идеи, казалось бы совершенно ему недоступные",1876,Ф. М. Достоевский. Дневник писателя. 1876 год (1876),публицистика | нехудожественная,книга
буква и форма правил,pos,осилили,осилить,perf,past,plur,искренность,NOUN,sing,inan,accs,"Нечего уж и говорить, что оно было тоже и единственным хранителем и носителем правил чести, но уже совершенно по европейскому шаблону, так что буква и форма правил совершенно осилили под конец искренность содержания: чести было много, ну, а честных людей под конец-то стало уж и не так много",1876,Ф. М. Достоевский. Дневник писателя. 1876 год (1876),публицистика | нехудожественная,книга
