username,date,polarity,semi_neg,Y,Meaning,tweet,center,tense
kekrel_kekrel,2023-04-16 22:12:33,pos,от силы,процентов десять,3,"последние 2 дня меня затянуло в poe. интересная дрочильня, но количество систем в ней это просто пиздец. по ощущениям осилил процентов 10 от силы! я так себе мозги не парил со времен эксель таблиц в гашише, блин блять  https://t.co/ubmddqkxuc",осилил,past
Red_Borschik,2023-04-16 20:22:33,neg,,12 этаж,3,"иногда мне кажется, что через полгода-год я буду единственным 60 рангом, который не осилил 12 этаж бездны тяжело быть криворуким ┐(シ)┌",осилил,past
caustikk,2023-04-16 20:17:50,neg,,парковку,3,"@s_baskak для тех, кто так и не осилил параллельную парковку. хотя, в современных машинах даже есть помощник, который делает это самостоятельно :)",осилил,past
IchbinShandybin,2023-04-16 19:34:09,neg,,его (курс физики),3,"@vassural читал. как видишь, умнее не стал. умнее становятся от прочтения курса квантовой физики. его, каюсь не осилил.",осилил,past
knstntnvktrch,2023-04-16 17:42:59,pos,,полторы серии,3,"@zel_enb мне вроде даже понравилось, но очень уж актеры плохо играют. полторы серии осилил и вырубил, потом мож досмотрю",осилил,past
ArtZaytcev,2023-04-16 16:50:33,neg,,,,"@mika_venerovna да где мне, сиволапому? ясен-красен, не осилил. (варваризм ""тейк"" забавно выглядит. как будто просит стилистического усиления каким-нибудь ""камон"" в конце фразы)",осилил,past
IIlIIllllIIIIII,2023-04-16 16:45:25,neg,,текст,3,"@arestovych весь текст не осилил, так он по итогу атеист или верующий, ответьте )",осилил,past
Siore6,2023-04-16 16:33:08,neg,,,,"@mahamaya_mouse @rats_ambassador паськи сложные шо пипец, физически и психически. я б не осилил, знакомые заводили",осилил,past
Jouhmur,2023-04-16 13:44:02,neg,,работу,3,"@fake_but_true ничего печального в этом нет, иначе бы, при нынешнем состоянии производственных отношений, все экономики мира настиг бы коллапс – никто не осилил бы монотонную неинтересную работу - водители, продавцы, крестьяне...  когда на замену npc придут роботы, тогда и нужда в них отпадёт.",осилил,past
True_Ammonia,2023-04-16 12:15:19,pos,,понять,3,"@ilhann14315340 @svobodaradio вот видишь. ты уже осилил понять, что не росатом. а если вчитаешься в новость, то обнаружишь, что могут запустить, т.к. новость про то, что запустили. умнеешь на глазах:)",осилил,past
TrushinBV,2023-04-16 11:37:05,neg,,симулякры,3,"наткнулся на одно интересное исследование: современные симулякры духовных традиций древности  всё я не осилил, но там есть интересный раздел ""примеры современных симулякров в религии, науке, образовании и культуре (иллюстрирующие текст настоящей статьи)""  1/5  https://t.co/hgccdhvufi",осилил,past
nmda96,2023-04-16 10:37:43,pos,,систему,3,@garaevruslan02 вот бы он еще метрическую систему осилил,осилил,past
kievskajarus,2023-04-16 10:21:06,neg,,,,@arestovych что-то слишком долгий твит получился!🤔 не осилил. это точно твиттер?🤣,осилил,past
not_very_best,2023-04-16 07:54:29,pos,,,,"@homa_sapiens_ сложно сказать, что прямо любимое, но ""ложная слепота"" точно в топе. читается сложновато, сам со второй попытки осилил, но если втянуться, такой каеф начинается.  про стругацких и лема уже написали))",осилил,past
JanssenSillag,2023-04-16 02:09:48,pos,еле,,,"@freedom3432 еле осилил… про вампиров это вообще не моё. досмотрел только из-за тильды и тома, они оба мои любимчики ☺️  да и гитары 🎸 зачётные в фильме 👌🏻 второй раз точно не буду это крутить.",осилил,past
Herr_Kazak,2023-04-16 01:59:32,pos,,половину,3,"@mirosich к моменту, осилил примерно половину анализ показал, что если не добавить хотя бы ягермайстера туда, то пить это дело вообще скучно",осилил,past
almamoshin,2023-04-16 00:28:07,neg,,властелина колец,3,"@seveninin @ltenkac @menywddig всё-таки я - дремуч. орки-орки, знаю что из толкиена, но властелина колец дальше страниц десяти в своё время не осилил. чувством понимаю кто это - а сформулировать не могу. это как в раннем детстве обзывались ""сифами"", без всякого понятия что это как-то связано с сифилисом",осилил,past
sennikov_egor,2023-04-15 22:52:53,neg,,том,3,"прекрасные тома были посвящены земной коре, земле, растениям и животным, а вот том про математику, кажется, я так и не осилил полностью; надо отметить, что с иллюстрациями и графикой все было хорошо, с фотографиями сильно хуже  https://t.co/92fccvazxb",осилил,past
03Zahar17,2023-04-15 22:40:06,neg,,водку,4,"@victor75407584 вкусно, родственники с кубани, посылку прислал и рецепт дал . написал сначала мясо 🍖 потом водку, мясо одолел, водку не осилил🤣🤣🤣",осилил,past
Panrok49,2023-04-15 22:22:04,neg,,оригинал,3,"вообще я далеко не фанат подобного жанра, но штука судя по отзывам гениальная и легендарная, так что хотя бы ремейк не посмотреть я не мог. (оригинал как-то пытался, но так и не осилил, слишком картинка глаз режит)",осилил,past
almamoshin,2023-04-15 19:39:19,pos,,улисса,3,"@seveninin @ltenkac @menywddig поток сознания в ""прощай, оружие"" меня пленил. я даже прочитал ""улисс"" джойса - предтечу хэмингуэя. никого больше не знаю кто бы осилил улисса. немного горжусь",осилил,past
PedroMagnifico,2023-04-15 17:56:03,pos,,посетить,2.1,"achievement unlocked: в первый раз с 2016 года осилил посетить ♂️this gym♂️ трижды за неделю - и надеюсь, что не в последний  https://t.co/dh8m4cvar8",осилил,past
Smoky_Mouse_,2023-04-15 17:27:54,neg,,,,@alexanderkhlob3 хуйловский воин не осилил😄  https://t.co/zvxbjj6aqh,осилил,past
almshkv,2023-04-15 17:20:53,pos,только в 4 захода,дерьмо,3,"оператор просто 1,5 часа крайне неумело снимает, как герои уныло идут по однообразным серо-зелёно-коричневым локациям.  я осилил это дерьмо только в 4 захода.",осилил,past
rigo_de_janeiro,2023-04-15 17:05:16,neg,,эмигрировать,2.1,"@translatordude я пока наблюдаю сценарий: был против войны - попытался эмигрировать - не осилил - переобулся. у большинства эмигрантов как будто всё вполне получается, но вот этот процент не осиливших и вернувшихся в рашку очень сильно распространяет заразу среди либералов.",осилил,past
plsimastaaar,2023-04-15 15:39:42,pos,,учебник,3,"@olegtsarov какой в пизду оруэлл, ты учебник истории новейшего времени за 10 класс к сему моменту осилил хоть, доктор што блять",осилил,past
VyacheslavP10,2023-04-15 14:18:47,pos,,серию,3,@crosssewing слушаю король и шут с 10 класса. первую серию осилил. вторую смотрел на перемотке. потом плюнул и забил. ужасная поделка.,осилил,past
fuckhappykitty,2023-04-15 14:07:05,pos,сомневаюсь,один,3,"@mrbin19701 @mulsorc @oldlentach @atchubar а ты все 18 томов этого ебаната прочитал? я сомневаюсь, что даже один бы осилил)",осилил,past
SandroWhite2,2023-04-15 14:03:07,neg,,смысл,3,@doctorjecur ты даже смысл твита не осилил,осилил,past
Mahnozoid,2023-04-15 12:58:56,pos,,курс,3,"примерно за год я осилил youtube-курс на 54 урока по созданию шутера(не спешил, да). отдаю моему добровольному консультанту с dtf исправлять ошибки, которые я не знаю, как исправить. и затем запишу видео об этом проекте. дальше буду смотреть про платформеры. хочу свой сделать  https://t.co/5jp8evkelq",осилил,past
Plus15RUB,2023-04-15 12:02:49,neg,,текст,3,"@kolezev а весь текст ты не осилил, да?",осилил,past
Barma_Leychik,2023-04-15 11:18:23,neg,,это,3,"@beloglazov73 @s_baskak капец, какой ты тупой, валера. я тебе уже информацию с сайта посольства эквадора заскринил. но ты и это не осилил. 🤣",осилил,past
blek_dame_,2023-04-15 11:13:06,pos,примерно,сто серий,3,"ну. дворецкий хорошо о нём отозвался. ""наивный и светлый"". сам он же осилил примерно первые сто серий",осилил,past
CliffordRassel,2023-04-15 10:48:09,pos,,того и другого,3,"@varrkan_v @olegkarev2 @donbasssegodnya я и того и другого осилил, хотя вот по толстому так и не прочитал его войну и мир))) но зато читал анну каренину и некоторые иные.",осилил,past
Varrkan_V,2023-04-15 10:42:25,pos,,его (шолохова),3,"@cliffordrassel @olegkarev2 @donbasssegodnya я не собираюсь оценивать талант шолохова. по мне - он лучше толстого, я его хотя бы осилил🤣",осилил,past
OlgaK1987va,2023-04-15 02:11:38,pos,только,предлоги,3,"@skazal_on @mironov_ru он на столько глуп, что осилил только предлоги в вашем ответе",осилил,past
K0TuK_,2023-04-15 01:42:49,pos,,тему,3,"я вроде как закончил на сегодня учиться. хотя, наверное, осилил бы и следующую тему, но и без того уже сбит режим. я уже слишком стар не спать ночами ))  спокойной ночи ✌️  https://t.co/cii5nhykzs",осилил,past
Vaioletti,2023-04-15 01:32:54,neg,,дальше второй серии,3,"@seth_moretti мне тож не зашёл( но я дальше второй серии не осилил. так что не могу ничего сказать, может потом там начинается крутота 🤷штош, может это я так сам себя лишил прекрасного сериала xd",осилил,past
Mehtl_M,2023-04-15 00:51:39,neg,,,,@sliparps @a_ya_govno просто не осилил,осилил,past
REIJUVS,2023-04-14 23:44:32,pos,,две серии,3,@getu33y как человек который читал книги смотрел фильмы и спин оффы и даже осилил 2 серии сериала я глубоко оскорблен,осилил,past
spbiluha,2023-04-14 22:43:33,pos,только,девять,4,"@obnimatyshki @rina_neona да я думал тыщ 60 пропью, а осилил только 9(((",осилил,past
EMP1177,2023-04-14 20:54:57,neg,,фразу,3,@alexandrmitrofa @croplus увы последнюю фразу-цитату из фильма я не осилил 🤨,осилил,past
YunyaDowner,2023-04-14 20:22:58,pos,хотя бы,биографию,3,"@voidy_ ты бы биографию ее хотя бы осилил, школяр. не позорься...",осилил,past
bigup_universe,2023-04-14 16:34:19,neg,,,,"@zanaszagaz жиза, я чет даже не осилил  https://t.co/dhnefcp7q2",осилил,past
MetaBrom,2023-04-14 15:29:41,pos,первых три ,первых три слова,3,@knopalaris @alfa484 осилил первых три слова. рад что не читаю. и не буду читать.,осилил,past
IIILEY,2023-04-14 15:11:34,pos,,,,"@xwildxbaboonx я пту дубступа ,только осилил",осилил,past
foto_falcon,2023-04-14 13:48:30,neg,,,,"olga kirienko: хуйло мое письмо переправил ментам😝 не осилил сам, похоже.  https://t.co/sixu7p5ypd",осилил,past
KyonSasha,2023-04-14 13:37:02,neg,,,,"@dr3adn0ught аниме да, 3 сезон на высокой ноте закончился. но дальше в манге уже скукотища и одни второстепенные линии. кагуя с миюки там на 2 плане. там больше история про задрота пошла. я начинал дочитывать, но так чото и не осилил",осилил,past
cyberpunk148,2023-04-14 13:02:51,neg,,,,"@kerry_shark @korovsky я её купил 4 раза на 4 разные платформы, и ни разу не осилил",осилил,past
saharov4,2023-04-14 12:37:42,neg,,,,@asahell666 но если он не додумался почитать тз или не осилил то это не твоя тема пусть об стену ёбнется,осилил,past
KlubMuzskoj,2023-04-14 11:08:21,pos,ели,интервью,3,@q0mt6pfmbvqynsm вчера ели осилил его интервью гордону. если этот упоротый русачек сядет будет кипишь,осилил,past
koirn,2023-04-14 11:03:42,neg,,,,@vanillacoder 😱 ну я б не осилил и сидел бы дома,осилил,past
roll_84,2023-04-14 10:03:53,pos,,,,@sov_535 @vladimirrvodn @affigget_z ты пока что осилил пару раз жиденько обмазаться говном всего лишь.  старайся лучше,осилил,past
mav_adzip,2023-04-14 07:29:01,pos,,школу,3,"@bocharik так то ты воняешь. открою тайну. запах с помощью видео не передается. школу осилил, ватангутанг?",осилил,past
holyvirg1n,2023-04-14 00:00:51,neg,,,,"@gray_feelgood чего не осилил, она маленькая же)",осилил,past
gray_feelgood,2023-04-14 00:00:08,neg,,лэйн,3,@holyvirg1n а лэйн я не осилил…,осилил,past
Schneider_813M,2023-04-13 21:51:41,neg,,"""братьев карамазовых""",3,"@alexmansourov читаю ""бесы"". не осилил ""братьев карамазовых"". видать ещё не время. ""идиот"" шедеврален. вот что у достоевского есть, так это бесконечные диалоги персонажей.",осилил,past
Kolamburie,2023-04-13 19:53:22,neg,,,,@koragrill я не осилил,осилил,past
VovanTzarevi4,2023-04-13 16:45:16,pos,,фильм,3,@lubanka1 осилил фильм.  заново. не...( по моему он совсем дурацкий.,осилил,past
Dark_Mayak,2023-04-13 15:10:42,pos,только,первый сезон,3,"доброго вам чего-то там, чтобы хоть где-то у вас это самое доброе завелось)  начал пересматривать сериал ""мерлин"". зачем? нет, не от скуки, а потому что меня работа на пару с погодой совсем заезжать стали. пока осилил только первый сезон. а вы чем занимались в моё отсутствие?",осилил,past
reireiven,2023-04-13 14:19:27,pos,,люцифера,3,боги. я полностью осилил люцифера. аыыыы,осилил,past
nastya_sha_man,2023-04-13 12:08:04,neg,,квест,3,"@otter_janine я переехал и пока не осилил квест прикрепиться к новой поликлинике &gt;&lt; пил те же штуки, что врач в прошлый раз прописывал при такой же болезни (и которые обычно сука помогают)",осилил,past
istab0n,2023-04-13 12:07:55,neg,,,,"нее, реально, поверить не могу, что это дерьмо получило оскара. просто как, зачем, почему. не осилил, бросил на 40-й минуте. я еще понимаю, за талантливо сделанную повесточку давать награды, но за откровенное дерьмо?! 🙄",осилил,past
dead_alive12,2023-04-13 11:17:07,neg,,навык,3,"@kattzzee @totchinator блин, я даже по-русски не всегда понимаю, что мне говорят.🥲*так и не осилил навык смотрения кино на англе*",осилил,past
nickeyfive,2023-04-13 10:16:08,neg,,,,@loqiemean много букв в твите не осилил,осилил,past
Alexeymash2,2023-04-13 09:59:37,neg,,,,"@con10_mimi я одно время тоже пытался их смотреть но не осилил, слишком все нудно",осилил,past
YuLA1961,2023-04-13 08:28:19,neg,,,,"@vadimkazac привет, вадим!!!! жесткач однако... точно шок... до конца не осилил... монитор жалко стало 😌😌😌",осилил,past
DenisB94161585,2023-04-13 04:49:14,neg,,задачу,3,@pobedysinus @maxnov_ @lisic_lisic задача вполне конкретная. доказать превалирование пользы осмотром над вредом от них. как делается при выпуске в массы любой процедры и препарата.  ты эту задачу не осилил. хоть и заявил о наличии двух этих факторов. успокойся уже.,осилил,past
catalinathebes,2023-04-20 23:42:28,pos,только,одну,3,"@masamiaraiii согласна! ощущение, что всем вокруг нравится, а я что первые серии еле прошла, что из этой обновы осилила только одну.",осилила,past
Nukta13,2023-04-20 22:18:12,pos,,два проекта,3,"третий месяц мне срезают премию за эффективность. аргументации нет. это бесит, хотя за эти три месяца была проделана не малая работа, при том два проекта я осилила одна и их я делала впервые без опыта, вникая все сама. а потом очередной раз становится грустно",осилила,past
